Aura star: attack of the temple	奧拉星：進擊聖殿
Seer 5	賽爾號大電影5：雷神索爾崛起
Psychic	通靈之六世古宅
Only You	非你勿擾
Dream Defender	守夢者
Love Will Be Back	等愛歸來
Wild City	迷城
Lady of the Dynasty	王朝的女人·楊貴妃
The Crossing	太平輪：驚濤摯愛
Who in the Pool	恐怖游泳館
Paris Holidays	巴黎假期
The making of a man	男人製造
The Little Mermaid: Attack of The Pirates	美人魚之海盜來襲
Black Pupil	黑瞳
Sword of Hope	軒轅劍傳奇
Love in the Office	一路向前
Kwai Boo	桂寶大電影之爆笑闖宇宙
To The Fore	破風
The Buried Secrets	紅髏
Legend of Didao	小西天狄道傳奇
Time To Love	新步步驚心
Love, At First	愛之初體驗
The Best Love	我爸比我小四歲
The Spirit of the Swords	情劍
Where Are All The Time	時間都去哪了
Mr Black&#160;: Green Star	黑貓警長之翡翠之星
Go away Mr. Tumour	滾蛋吧！Mr. Tumor
Detective Gui	宅女偵探桂香
Roco Kingdom 4	洛克王國4：出發！巨人谷
A Promise to the Kurichenko's	相伴庫里申科
Snow White: The Mysterious Father	白雪公主之神秘爸爸
Mid-July Days	七月半之恐怖宿舍
Panda Hero Legend	我是大熊貓之熊貓大俠
Bride Wars	新娘大作戰
Cities In Love	戀愛中的城市
Ballet in the Flames of War	戰火中的芭蕾
Twin Spirit	雙生靈
Entrapment	誘狼
The Assassin	刺客聶隱娘
The Dead End	烈日灼心
Wild Desert	心跳戈壁
Tale of Three Cities	三城記
