Marina Abramovic: The Artist Is Present	凝視瑪莉娜
Logan Lucky	羅根好好運
Din Tao：Leader of the Parade	陣頭
Black & White Episode 2	痞子英雄2
Ma' Rosa	私法拘留
The Glass Castle	玻璃城堡
Allied	同盟鶼鰈
Insidious Chapter 3	陰兒房3
The Burning Plain	燃燒的原野
Kidnap	綁架
Oslo, 31. august	八月三十一日,我在奧斯陸
The Receptionist	接線員
1987: When The Day Comes	1987：黎明到來的那一天
Robot & Frank	機器人與法蘭克
[REC] 4: Apocalipsis	錄到鬼4
Liberal Arts	愛情必修學
Kong: Skull Island	金剛:骷髏島
Leo's Room	里歐的房間
Comet Impact	2008隕石噩夢
Le Havre	溫心港灣
Three Monkeys	三隻猴子
I Served the King of England	我曾伺候過英國國王
The Hitman’s Bodyguard	殺手保鑣
The Crocodiles	少年鱷魚幫
[REC] 3: Genesis	錄到鬼3
Phantom of the Opera at the Royal Albert Hall	歌劇魅影舞台版
White God	忠犬追殺令
崖の上のポニョ	崖上的波妞
Kill Your Darlings	愛殺達令
The Villainess	惡女
All's Well Ends Well 2011	最強囍事
Inside	鮮胎活剝
Buddha: The Great Departure	佛陀：首部曲
Alien: Covenant	異形:聖約
Heli	毒粉風暴
Did You Hear About the Morgans?	名牌冤家
Nobody’s Perfect	沒問題三班
The Wall	危牆狙擊
Night at the Museum 3	博物館驚魂夜3
Sand Clock	砂時計
The Transporter Legacy	玩命快遞4
Black Book	黑書
Thermae Romae II	羅馬浴場2
If Not Us, Who?	捨愛其誰
Neko Atsume House	貓咪收集之家
The Penguins of Madagascar	馬達加斯加爆走企鵝
labor day	一日一生
Allacciate Le Cinture	愛情初邂逅
The Kite Runner	追風箏的孩子
Dear Friends ディア フレンズ	二分之ㄧ的友情
Suck Me Shakespeer	不良鮮師
The Haunted Drum	人頭蠱
The Crossing Part 2	太平輪:驚濤摯愛
Despicable Me 3	神偷奶爸3
Okja	玉子
Jobs	賈伯斯
Two Days, One Night	兩天一夜
蛇にピアス	蛇信與舌環
Beasts of the Southern Wild	南方野獸樂園
Gifted	天才的禮物
Shrek the Third	史瑞克三世
Babysitting	褓姆Hold不住
クロサギ	詐欺獵人
Cooties	殭屍小屁孩
Dead in 3 Days	活三更
Le Grand Chef	食客
G.I. Joe 2: Retaliation	特種部隊2
A Werewolf Boy	狼少年
The Post	郵報:密戰
Coco Chanel & Igor Stravinsky	香奈兒的秘密
Initiation Love	愛的成人式
The Broken Circle Breakdown	愛的餘燼
My DNA Says I LoveYou	基因決定我愛你
Heroes Wanted	魯蛇特攻隊
戰爭製造公司	戰爭製造公司
After Lucia	露西亞離開之後
Hachiko: A Dog's Story	忠犬小八
Nymphomaniac	性愛成癮的女人
Pink & Gray	紅的告別式
Cheers from Heaven	來自天國的喝采
Jack the Giant Killer	傑克:巨人戰
You're The Apple Of My Eye	那些年,我們一起追的女孩
Melancholia	驚悚末日
The Wonders	蜂蜜之夏
My back page	革命青春
Vacancy	針孔旅社
And If We All Lived Together	六人行不行
xXx: The Return of Xander Cage	限制級戰警3
My Rainy Days	天使之戀
Natalie	娜妲莉的情人
Gone for a Dance	花漾漫舞
The Search for General Tso	尋找左宗棠
The Pirates	海賊：汪洋爭霸
My Brilliant Life	噗通噗通我的人生
The Go-Go Boys	電影狂人夢
Cosmopolis	夢遊大都會
Ballerina	芭蕾奇緣
Una	最愛你的人是我
Nobody Else But You	夢露謎情
Another Gay Movie	酷兒同玩派
Return to Sender	控制遊戲
About Ray	幸福不設限
Radin !	金金計較
Martian Child	我的火星小孩
Air Doll	空氣人形
To Each His Own	不幹了！我開除了黑心公司
Our Little Sister	海街日記
Gallows Hill	闇魔怨
Epitaph	冥婚淒談
Rock'n Roll	搖滾救明星
The Railway Man	心靈勇者
Conan the Barbarian	王者之劍3D
Angel's Egg	天使之卵
James Cameron's Deepsea Challenge 3D	深海挑戰3D
Beyond the Gates	勇闖地獄門
Nanking	被遺忘的1937
Out in the Dark	愛,悄悄越界
Pitch Perfect 3	歌喉讚3
The Maze Runner: The Scorch Trials	移動迷宮2
The Detcctive 2	B+偵探
Mayday 3DNA	五月天追夢
Marie Antoinette	凡爾賽拜金女
3D Sex & Zen: Extreme Ecstasy	3D肉蒲團
The Housemaid	下女
Ghost Graduation	死也要畢業
Messi	球神梅西
容疑者Ｘの献身	嫌疑犯X的獻身
Will You Still Love Me Tomorrow？	明天記得愛上我
Ocean's 8	瞞天過海:八面玲瓏
Connected	保持通話
Pacific Rim: Uprising	環太平洋2
Land of Mine	拆彈少年
Wu xia	武俠
Living The Game	我在快打求旋風
Words and Pictures	字畫情緣
The Divide	崩裂:毀滅殺陣
Doraemon The Movie 30th	大雄的人魚大海戰
Schoolgirl Complex	私處
Bee Movie	蜂電影
Split	分裂
Elizabeth: The Golden Age	輝煌年代
Omar	奧瑪的抉擇
Sex and Death 101	101夜情
Still Alice	我想念我自己
The Great Buddha +	大佛普拉斯
Umizaru 3: The Last Message	海猿3D
Wind River	極地追擊
The Founder	速食遊戲
Harry Potter and the Deathly Hallows - Part 1	哈利波特7
The Crucifixion	刑弒厲
Life, Animated	動畫人生
Burying the Ex	我的屍控女友
Power Rangers	金剛戰士
Grand Piano	關鍵琴聲
The Refuge	逐愛角落
Cheap Thrills	絕命賭局
City Without Baseball	無野之城
In the Name of the King: A Dungeon Siege Tale	末日危城
Eastern Promises	黑幕謎情
From Beginning to End	兄弟情人
犬と私の10の約束	與狗狗的十個約定
Wonder	奇蹟男孩
Naked Harbour	縱情城市
The Numbers Station	數字戰
